t_data,del_target_values,delta_pred,omega_target_values,omega_pred
0.0,-1.0,-1.0066871291737867,383.9911,383.8895381963556
0.02631578947368421,-0.8153937917897303,-0.8251492819012718,384.0159612868006,383.8571024840405
0.05263157894736842,-0.630566407381203,-0.6453185773821835,384.0071849434781,383.7821986155091
0.07894736842105263,-0.44645916336091357,-0.46772303897974155,383.9605330966236,383.68733489881066
0.10526315789473684,-0.26410755871405983,-0.29288516165530964,383.8734892587305,383.57274930992446
0.13157894736842105,-0.08459039091734291,-0.12132044372056061,383.74540788002156,383.4387352585137
0.15789473684210525,0.0910311269068795,0.04646406247698742,383.5774760556563,383.28564079191347
0.18421052631578946,0.2617380834321954,0.2099711769064605,383.3726011616999,383.1138676472269
0.21052631578947367,0.42661189381847187,0.36871499127840046,383.1350956433746,382.92387015414454
0.23684210526315788,0.5848641789398455,0.5222222376509089,382.87016677016885,382.7161539915153
0.2631578947368421,0.7358474158092319,0.6700336224107817,382.58365114807754,382.49127480109564
0.2894736842105263,0.8790633916616271,0.8117051219190996,382.2816197479116,382.2498366623176
0.3157894736842105,1.0142002105140744,0.9468092362169678,381.970006030558,381.9924904322811
0.3421052631578947,1.1410798488718008,1.0749361973023097,381.6542123189973,381.71993195556206
0.3684210526315789,1.259645952723689,1.1956951286149664,381.3390025575387,381.43290014878744
0.39473684210526316,1.3699638375422758,1.3087151525016472,381.02850231182106,381.13217496526914
0.42105263157894735,1.472210987816647,1.4136464425764972,380.7261364326695,380.8185752453303
0.4473684210526315,1.5666387583492194,1.5101612180453428,380.43446526311243,380.49295645827044
0.47368421052631576,1.6535535310587828,1.5979546772223063,380.1554179722606,380.15620834221124
0.5,1.7333042087998243,1.6767458676354074,379.89032892975183,379.9851652356979
