t_data_actual,omega_target_values
0.0,38.39911
0.02631578947368421,38.401596128680055
0.05263157894736842,38.40071849434781
0.07894736842105263,38.396053309662356
0.10526315789473684,38.38734892587305
0.13157894736842105,38.37454078800216
0.15789473684210525,38.35774760556563
0.18421052631578946,38.337260116169986
0.21052631578947367,38.31350956433746
0.23684210526315788,38.28701667701689
0.2631578947368421,38.25836511480775
0.2894736842105263,38.228161974791156
0.3157894736842105,38.1970006030558
0.3421052631578947,38.16542123189973
0.3684210526315789,38.13390025575387
0.39473684210526316,38.1028502311821
0.42105263157894735,38.07261364326695
0.4473684210526315,38.04344652631124
0.47368421052631576,38.01554179722606
0.5,37.98903289297518
