t_data,delta_pred,omega_pred
0.0,-0.10066871291737867,38.38895381963556
0.02631578947368421,-0.08251492819012718,38.38571024840405
0.05263157894736842,-0.06453185773821835,38.37821986155091
0.07894736842105263,-0.046772303897974155,38.368733489881066
0.10526315789473684,-0.029288516165530964,38.357274930992446
0.13157894736842105,-0.012132044372056061,38.34387352585137
0.15789473684210525,0.004646406247698742,38.328564079191345
0.18421052631578946,0.02099711769064605,38.31138676472269
0.21052631578947367,0.036871499127840046,38.292387015414455
0.23684210526315788,0.05222222376509089,38.27161539915153
0.2631578947368421,0.06700336224107817,38.249127480109564
0.2894736842105263,0.08117051219190996,38.22498366623176
0.3157894736842105,0.09468092362169678,38.19924904322811
0.3421052631578947,0.10749361973023097,38.171993195556205
0.3684210526315789,0.11956951286149664,38.143290014878744
0.39473684210526316,0.13087151525016472,38.113217496526914
0.42105263157894735,0.14136464425764972,38.08185752453303
0.4473684210526315,0.15101612180453428,38.049295645827044
0.47368421052631576,0.15979546772223063,38.015620834221124
0.5,0.16767458676354074,37.99851652356979
