X,delta0_4_s,delta0_4,delta0_4_real,omega0_4_s,omega0_4,omega_0_4_real
0.0,-0.10057676,-0.10176928,-0.1,38.38634428,38.4056902,38.39911
0.025139664804469275,-0.08249165,-0.08317506,-0.08240861931558667,38.38376425,38.39495664,38.40155062752203
0.05027932960893855,-0.06454233,-0.06514577,-0.06479330784534923,38.37748586,38.37348952,38.400957001898
0.07541899441340782,-0.04678765,-0.0476814,-0.04723486756264142,38.36898709,38.35202241,38.39695234545143
0.1005586592178771,-0.02928564,-0.03078196,-0.029822178485714588,38.35830365,38.33055529,38.38930002392819
0.12569832402234637,-0.01209325,-0.01444744,-0.012648517558398423,38.34547751,38.30908817,38.37791780722099
0.15083798882681565,0.00473371,0.00132216,0.004193769359367158,38.33055683,38.28762106,38.36287496086299
0.17597765363128492,0.02114079,0.01652683,0.020615070468403395,38.31359575,38.26615394,38.344387538655226
0.2011173184357542,0.03707506,0.03116657,0.03653279798978123,38.29465428,38.24468682,38.3227951422131
0.22625698324022347,0.05248523,0.0452414,0.05187451030266058,38.27379811,38.22321971,38.29852704629487
0.25139664804469275,0.0673218,0.0587513,0.06657932019673622,38.25109841,38.20175259,38.2720672871467
0.276536312849162,0.08153725,0.07169627,0.08059787808531996,38.22663161,38.18028547,38.24394057384525
0.3016759776536313,0.0950861,0.08407632,0.09389539453760715,38.20047925,38.15881836,38.21466836964974
0.3268156424581006,0.1079251,0.09589145,0.10645070074680735,38.17272763,38.13735124,38.184747283419256
0.35195530726256985,0.12001334,0.10714165,0.11825273018780748,38.14346768,38.11588412,38.15462209123315
0.3770949720670391,0.13131235,0.11782693,0.12930045124053638,38.11279462,38.094417,38.124684917765094
0.4022346368715084,0.14178622,0.12794728,0.1396028585981161,38.0808077,38.07294989,38.095275237468066
0.4273743016759777,0.1514017,0.13750271,0.14917708750742847,38.04760994,38.05148277,38.06667217516875
0.45251396648044695,0.16012832,0.14649322,0.1580467306505688,38.01330781,38.03001565,38.03907891054625
0.4776536312849162,0.16793843,0.1549188,0.16623925517427435,37.99589417,38.0192821,38.012649852087264
0.5027932960893855,0.1676094,0.15569136,0.1737846032854233,37.98846404,37.9776778,37.98749727103264
0.5279329608938548,0.17522398,0.16302209,0.18071519225103475,37.97648623,37.96983383,37.96369130137734
0.553072625698324,0.18220815,0.16993998,0.18706591149261198,37.9531108,37.95414589,37.94126012801484
0.5782122905027933,0.18859244,0.17644503,0.19287278963333365,37.93090029,37.93845795,37.920205173258594
0.6033519553072626,0.19440764,0.18253724,0.19816958739912158,37.90986147,37.92277001,37.90050163252935
0.6284916201117319,0.19968462,0.18821661,0.20298875794918095,37.88999661,37.90708207,37.882108863933816
0.6536312849162011,0.2044543,0.19348314,0.2073617726781008,37.87130351,37.89139413,37.86497908897151
0.6787709497206704,0.20874744,0.19833683,0.21131912121585394,37.85377555,37.87570618,37.849057392534704
0.7039106145251397,0.21259459,0.20277768,0.21489031142779708,37.83740174,37.86001824,37.83428172290848
0.729050279329609,0.21602595,0.20680569,0.21810386941467055,37.82216681,37.8443303,37.82058289177068
0.7541899441340782,0.21907127,0.21042085,0.22098733951259864,37.80805128,37.82864236,37.80788457419192
0.7793296089385475,0.2217597,0.21362318,0.2235663727056563,37.79503154,37.81295442,37.7961088355298
0.8044692737430168,0.22411977,0.21641266,0.22586207547339804,37.78308,37.79726647,37.78518979586491
0.8296089385474861,0.22617918,0.21878931,0.22789389932981524,37.77216518,37.78157853,37.77506231691277
0.8547486033519553,0.22796478,0.22075311,0.22968018820308833,37.76225185,37.76589059,37.765663185922925
0.8798882681564246,0.22950243,0.22230408,0.2312381675958622,37.75330116,37.75020265,37.75693121528892
0.9050279329608939,0.23081694,0.2234422,0.23258394458524617,37.74527084,37.73451471,37.74880724254838
0.9301675977653632,0.23193195,0.22416748,0.233732507822814,37.73811529,37.71882677,37.741234130382956
0.9553072625698324,0.23286985,0.22447992,0.2346977275346038,37.73178583,37.70313882,37.734156766618355
0.9804469273743017,0.23365173,0.22437953,0.23549235017260245,37.72882133,37.69529485,37.72752214185816
1.005586592178771,0.2315315,0.22443999,0.23612717670386432,37.71745141,37.69136426,37.72128311741679
1.0307262569832403,0.23201417,0.22423616,0.23661060631312783,37.71466532,37.68831553,37.715399924099096
1.0558659217877095,0.2323502,0.22387186,0.23695027515722764,37.70908136,37.68221807,37.7098348522138
1.0810055865921788,0.23253897,0.22334711,0.23715323168690508,37.70347897,37.67612061,37.70455180821833
1.106145251396648,0.23258014,0.22266189,0.23722593664680838,37.69786852,37.67002315,37.69951631471883
1.1312849162011174,0.23247363,0.22181622,0.2371742630754924,37.69226035,37.66392569,37.694695510470126
1.1564245810055866,0.23221964,0.22081009,0.23700349630541886,37.68666485,37.65782823,37.6900581503758
1.181564245810056,0.23181862,0.2196435,0.23671833396295622,37.68109233,37.65173076,37.685574605488114
1.2067039106145252,0.23127134,0.21831644,0.2363228859683797,37.67555307,37.6456333,37.68121686300804
1.2318435754189945,0.23057879,0.21682893,0.2358206077146069,37.67005727,37.63953584,37.676958909342524
1.2569832402234637,0.22974225,0.21518096,0.2352135223769131,37.66461502,37.63343838,37.6727796102857
1.282122905027933,0.22876326,0.21337253,0.2345027116862261,37.65923627,37.62734092,37.66865983623189
1.3072625698324023,0.22764363,0.21140364,0.23368898114920303,37.65393083,37.62124346,37.664581296553514
1.3324022346368716,0.22638541,0.20927429,0.2327728681274681,37.64870834,37.615146,37.66052665366418
1.3575418994413408,0.22499091,0.20698448,0.2317546418376125,37.64357822,37.60904853,37.65647952301866
1.3826815642458101,0.22346268,0.20453422,0.23063430335119428,37.63854968,37.60295107,37.652424473112895
1.4078212290502794,0.22180353,0.20192349,0.2294115855947388,37.63363166,37.59685361,37.648347025484014
1.4329608938547487,0.22001646,0.1991523,0.22808595334973822,37.62883288,37.59075615,37.64423365471031
1.458100558659218,0.21810473,0.19622065,0.2266566032526517,37.62416174,37.58465869,37.64007178841127
1.4832402234636872,0.21607181,0.19312855,0.2251224637949055,37.62185911,37.58160996,37.63584980724753
1.5083798882681565,0.21609916,0.19328275,0.2234822383931581,37.61967885,37.58093899,37.631557233978825
1.5335195530726258,0.21400887,0.19017299,0.22173459056279846,37.61700926,37.57849168,37.62718721636928
1.558659217877095,0.21177807,0.18693442,0.21987687441923603,37.61161809,37.57359705,37.62273255609898
1.5837988826815643,0.20940403,0.18356705,0.21790623671888287,37.60612841,37.56870243,37.61818683873076
1.6089385474860336,0.2068843,0.18007086,0.21581993766936908,37.60055144,37.5638078,37.61354534782499
1.6340782122905029,0.20421674,0.17644588,0.21361535092954265,37.59489884,37.55891318,37.608805064939595
1.6592178770949721,0.2013995,0.17269208,0.2112899636094696,37.58918274,37.55401855,37.60396466963003
1.6843575418994414,0.19843109,0.16880949,0.2088413762704338,37.5834157,37.54912393,37.599024539449296
