X,delta0_4_s,delta0_4,delta0_4_real,omega0_4_s,omega0_4,omega_0_4_real
0.0,-1.0057676,-1.0176928,-1.0,383.86344280000003,384.05690200000004,383.9911
0.025139664804469275,-0.8249165,-0.8317505999999999,-0.8240861931558667,383.8376425,383.9495664,384.0155062752203
0.05027932960893855,-0.6454232999999999,-0.6514577,-0.6479330784534922,383.7748586,383.7348952,384.00957001898
0.07541899441340782,-0.46787650000000003,-0.47681399999999996,-0.4723486756264142,383.68987089999996,383.52022409999995,383.96952345451433
0.1005586592178771,-0.2928564,-0.3078196,-0.2982217848571459,383.58303650000005,383.3055529,383.89300023928195
0.12569832402234637,-0.1209325,-0.1444744,-0.12648517558398423,383.4547751,383.0908817,383.7791780722099
0.15083798882681565,0.04733710000000001,0.0132216,0.04193769359367158,383.3055683,382.8762106,383.6287496086299
0.17597765363128492,0.21140789999999998,0.16526829999999998,0.20615070468403396,383.13595749999996,382.66153940000004,383.44387538655224
0.2011173184357542,0.3707506,0.3116657,0.3653279798978123,382.94654280000003,382.4468682,383.227951422131
0.22625698324022347,0.5248523,0.452414,0.5187451030266058,382.7379811,382.2321971,382.98527046294873
0.25139664804469275,0.673218,0.587513,0.6657932019673622,382.5109841,382.0175259,382.72067287146695
0.276536312849162,0.8153725000000001,0.7169627000000001,0.8059787808531995,382.2663161,381.8028547,382.4394057384525
0.3016759776536313,0.9508610000000001,0.8407631999999999,0.9389539453760715,382.0047925,381.5881836,382.14668369649746
0.3268156424581006,1.079251,0.9589145,1.0645070074680736,381.72727629999997,381.3735124,381.84747283419256
0.35195530726256985,1.2001334,1.0714165,1.1825273018780749,381.43467680000003,381.1588412,381.5462209123315
0.3770949720670391,1.3131234999999999,1.1782693,1.2930045124053637,381.1279462,380.94417,381.2468491776509
0.4022346368715084,1.4178621999999999,1.2794728,1.3960285859811612,380.808077,380.72949889999995,380.95275237468064
0.4273743016759777,1.514017,1.3750271,1.4917708750742849,380.4760994,380.5148277,380.6667217516875
0.45251396648044695,1.6012832,1.4649322,1.580467306505688,380.13307810000003,380.3001565,380.39078910546255
0.4776536312849162,1.6793843,1.549188,1.6623925517427436,379.95894169999997,380.192821,380.12649852087264
0.5027932960893855,1.676094,1.5569136000000001,1.7378460328542331,379.88464039999997,379.77677800000004,379.87497271032635
0.5279329608938548,1.7522398,1.6302209,1.8071519225103474,379.7648623,379.6983383,379.6369130137734
0.553072625698324,1.8220815000000001,1.6993998,1.8706591149261198,379.53110799999996,379.5414589,379.4126012801484
0.5782122905027933,1.8859244,1.7644503,1.9287278963333365,379.3090029,379.3845795,379.2020517325859
0.6033519553072626,1.9440764,1.8253724,1.9816958739912158,379.09861470000004,379.2277001,379.00501632529347
0.6284916201117319,1.9968462,1.8821661,2.0298875794918096,378.8999661,379.0708207,378.82108863933814
0.6536312849162011,2.044543,1.9348314,2.073617726781008,378.71303509999996,378.91394130000003,378.64979088971506
0.6787709497206704,2.0874744,1.9833683,2.1131912121585392,378.5377555,378.75706180000003,378.490573925347
0.7039106145251397,2.1259459,2.0277768,2.148903114277971,378.37401739999996,378.6001824,378.3428172290848
0.729050279329609,2.1602595,2.0680568999999998,2.1810386941467055,378.2216681,378.443303,378.20582891770675
0.7541899441340782,2.1907127,2.1042085,2.209873395125986,378.0805128,378.28642360000003,378.07884574191917
0.7793296089385475,2.217597,2.1362318,2.235663727056563,377.95031539999997,378.12954419999994,377.961088355298
0.8044692737430168,2.2411977,2.1641266,2.2586207547339803,377.83079999999995,377.9726647,377.8518979586491
0.8296089385474861,2.2617918,2.1878930999999997,2.2789389932981523,377.7216518,377.81578529999996,377.7506231691277
0.8547486033519553,2.2796478000000002,2.2075311,2.2968018820308833,377.62251849999996,377.6589059,377.65663185922926
0.8798882681564246,2.2950243,2.2230407999999997,2.3123816759586218,377.5330116,377.5020265,377.5693121528892
0.9050279329608939,2.3081694,2.234422,2.325839445852462,377.4527084,377.34514709999996,377.4880724254838
0.9301675977653632,2.3193194999999998,2.2416748,2.33732507822814,377.3811529,377.1882677,377.4123413038296
0.9553072625698324,2.3286985,2.2447992,2.346977275346038,377.3178583,377.0313882,377.34156766618355
0.9804469273743017,2.3365173,2.2437953,2.3549235017260246,377.28821330000005,376.95294850000005,377.2752214185816
1.005586592178771,2.315315,2.2443999,2.361271767038643,377.1745141,376.9136426,377.2128311741679
1.0307262569832403,2.3201416999999998,2.2423615999999997,2.3661060631312782,377.1466532,376.8831553,377.15399924099097
1.0558659217877095,2.323502,2.2387186,2.369502751572276,377.0908136,376.8221807,377.09834852213805
1.0810055865921788,2.3253897,2.2334711,2.3715323168690507,377.0347897,376.7612061,377.0455180821833
1.106145251396648,2.3258014,2.2266189,2.372259366468084,376.9786852,376.7002315,376.9951631471883
1.1312849162011174,2.3247362999999996,2.2181622,2.371742630754924,376.9226035,376.63925689999996,376.94695510470126
1.1564245810055866,2.3221964,2.2081009,2.370034963054189,376.8666485,376.5782823,376.90058150375796
1.181564245810056,2.3181862,2.196435,2.367183339629562,376.8109233,376.5173076,376.85574605488114
1.2067039106145252,2.3127134,2.1831644,2.363228859683797,376.7555307,376.456333,376.8121686300804
1.2318435754189945,2.3057879,2.1682893,2.358206077146069,376.7005727,376.3953584,376.7695890934252
1.2569832402234637,2.2974225,2.1518096,2.352135223769131,376.64615019999997,376.3343838,376.72779610285704
1.282122905027933,2.2876326,2.1337253,2.345027116862261,376.5923627,376.2734092,376.6865983623189
1.3072625698324023,2.2764363000000003,2.1140364,2.3368898114920302,376.5393083,376.21243460000005,376.64581296553513
