t_data,del1_target_values,del1,omega1_target_values,omega1,del2_target_values,del2,omega2_target_values,omega2,del3_target_values,del3,omega3_target_values,omega3
0.0,0.0626,0.0626,1.0,1.0,1.0567,1.0567,1.0,1.0,0.9449,0.9449,1.0,1.0
0.10101010101010101,0.07011511700126488,0.07093930393225674,1.0002053744712585,1.0002011838027036,1.045188644166267,1.0442058682859205,0.9996812436713708,0.9996766749242278,0.9233097919293766,0.9198979881591126,0.9994153819800515,0.9994620124549727
0.20202020202020202,0.07781808464088463,0.07881518598352669,1.0001992040515397,1.0001957533105974,1.0330710054706214,1.0314638387124668,0.9996824368233903,0.9996811386636907,0.9015941600961741,0.8989203394179063,0.9994439144548619,0.9994807336043297
0.30303030303030304,0.08528731252235024,0.08647556833030887,1.0001931005995672,1.0001903228184912,1.0210113213972747,1.0188989449337733,0.9996842784487356,0.9996856024031536,0.8809449300929801,0.8786856071703166,0.99947138498868,0.9994994547536867
0.40404040404040403,0.09252561232632919,0.09392045097260326,1.0001870775646282,1.0001848923263852,1.0090332602616154,1.0065111869498402,0.9996867149486116,0.9996900661426165,0.8613211152265107,0.8591937914163439,0.9994977667608494,0.9995181759030437
0.5050505050505051,0.09953627253483219,0.10114983391040988,1.0001811464936181,1.000179461834279,0.9971584766590975,0.9943005647606673,0.9996896938572059,0.9996945298820794,0.8426809446472738,0.8404448921559879,0.9995230458073683,0.9995368970524007
0.6060606060606061,0.10632298558469415,0.10816371714372872,1.0001753170129084,1.0001740313421728,0.9854066503172662,0.9822670783662548,0.9996931648623041,0.9996989936215422,0.8249823447176721,0.8224389093892489,0.9995472199737331,0.9995556182017578
0.7070707070707071,0.11288978592381416,0.11496210067255976,1.0001695977322709,1.0001686008500668,0.9737955751195456,0.9704107277666026,0.999697077882039,0.9997034573610051,0.808183311417506,0.8051758431161266,0.9995702936985236,0.9995743393511147
0.8080808080808081,0.11924099550094004,0.12154498449690304,1.000163994917078,1.0001631703579605,0.9623412024375818,0.9587315129617108,0.9997013873880721,0.999707921100468,0.7922422287961758,0.788655693336621,0.9995922837403288,0.9995930605004717
0.9090909090909091,0.12538116092310436,0.1279123686167585,1.0001585142393608,1.0001577398658543,0.9510577451624997,0.9472294339515792,0.9997060479332407,0.9997123848399309,0.7771182078526278,0.7728784600507322,0.9996132104741642,0.9996117816498287
1.0101010101010102,0.1313150214749864,0.13406425303212618,1.00015316022813,1.0001523093737483,0.9399577659577769,0.935904490736208,0.9997110163949599,0.9997168485793937,0.762771217952042,0.7578441432584603,0.9996330991840697,0.9996305027991857
1.1111111111111112,0.13704746128002537,0.14000063774300614,1.0001479358015117,1.000146878881642,0.9290522363902008,0.9247566833155971,0.9997162537974418,0.9997213123188566,0.7491623195217852,0.7435527429598052,0.9996519819547705,0.9996492239485427
1.2121212121212122,0.14258346593202448,0.14572152274939829,1.0001428435604998,1.0001414483895361,0.9183506455189581,0.9137860116897466,0.9997217223283824,0.9997257760583195,0.7362538298554815,0.7300042591547669,0.9996698904002386,0.9996679450978997
1.3131313131313131,0.1479280980321741,0.1512269080513026,1.000137885066431,1.00013601789743,0.9078611045499141,0.9029924758586563,0.9997273855022293,0.9997302397977824,0.7240093894575943,0.7171986918433453,0.9996868629915544,0.9996866662472567
1.4141414141414141,0.15308647180975246,0.15651679364871923,1.0001330611039434,1.0001305874053237,0.8975904395949054,0.8923760758223264,0.9997332109895083,0.9997347035372453,0.712393991591014,0.7051360410255407,0.9997029369955647,0.9997053873966137
1.5151515151515151,0.1580637231704054,0.16159117954164798,1.0001283720239111,1.0001251569132177,0.8875442041910119,0.8819368115807568,0.9997391684484528,0.9997391672767081,0.701374131325954,0.6938163067013527,0.9997181493895573,0.9997241085459707
1.6161616161616161,0.162864979448481,0.16645006573008891,1.0001238177119913,1.0001197264211115,0.8777268657090043,0.8716746831339476,0.9997452292572131,0.999743631016171,0.6909177891355154,0.6832394888707819,0.9997325380373921,0.9997428296953277
1.7171717171717171,0.16749535092036527,0.17109345221404218,1.000119397078641,1.0001142959290052,0.8681418599917079,0.8615896904818986,0.9997513667885094,0.9997480947556339,0.6809944319614829,0.6734055875338275,0.9997461467116603,0.9997615508446847
1.8181818181818181,0.17195992276795335,0.17552133899350764,1.0001151093429679,1.0001088654368993,0.858791663095336,0.8516818336246099,0.9997575568380925,0.9997525584950968,0.6715749401629179,0.66431460269049,0.9997590103287375,0.9997802719940417
1.9191919191919191,0.17626372398609969,0.17973372606848528,1.0001109527154783,1.0001061501908461,0.8496778558459428,0.8419511125620818,0.999763778017076,0.9997547903648282,0.6626317090608779,0.6559665343407695,0.9997711690333667,0.9997896325687202
2.0202020202020203,0.18041172093460003,0.1798172049695484,1.000106925821476,1.0001019138757932,0.840801183463983,0.8419039860310509,0.9997700097391491,0.9997815653366365,0.6541385840829863,0.6540457552631609,0.9997826564183131,0.9998106772235535
2.121212121212121,0.18440880330416648,0.18386148119486684,1.0001030266044477,1.0001004446226873,0.832161717736997,0.8332357835026786,0.9997762336388972,0.9997841034968031,0.6460707700002781,0.6465328077107835,0.9997935092146351,0.999813555935499
2.2222222222222223,0.18825978411642774,0.18778914787397183,1.0000992523260634,1.0000975061164759,0.8237588570196098,0.8247690259834021,0.9997824335718024,0.9997891798171364,0.6384048309271991,0.6392483335863848,0.9998037672916854,0.99981931335939
2.323232323232323,0.19196939929507387,0.1916002050068632,1.0000956012128968,1.0000945676102644,0.815591383109577,0.8165037134732219,0.9997885938436536,0.9997942561374699,0.6311185759401254,0.632192332889965,0.9998134585130574,0.9998250707832809
